ASIN	ASIN Description	GL CODE	Produce Group Label	Category Code	Category Label	Subcategory Code	Subcategory Label	Brand Name	Item Name
B01ALI3SSG	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Wet Cat Food; Cat Concoctions With Chicken in Creamy Crabby Sauce - 5.5 oz. Can
B01ALI3T4E	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Wet Cat Food; Cat Concoctions With Lamb in Clam Flavored Sauce - 5.5 oz. Can, pack of 24
B01ALI3V0G	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Cat Concoctions Variety Pack Cat Food - (24) 8.25 lb. Box
B01DSV2LJ0	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Wet Cat Food, 5.5 Oz
B01H00YSRS	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Gravy Pleasers Variety Pack Cat Food - (24) 8.25 Lb. Box
B01H00YSUA	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Tasty Treasures Variety Pack Cat Food - (24) 8.25 Lb. Box
B01H015JKM	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food Variety Pack, Savory Shreds - (32) 5.5 oz. Cans
B01H3OA7GC	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Dry Cat Food, Tender & Crunchy Combo - 6.3 lb. Bag
B01H3OA816	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Dry Cat Food, Tender & Crunchy Combo - 16 lb. Bag
B01K4K8SL8	467>46709000>46709020	467	Pantry	46709000	9000  Pet Food - Pantry	46709020	9020  Pet Treats	Purina Friskies	Purina Friskies Party Mix, 20 Ounce
B01K4K912S	467>46709000>46709020	467	Pantry	46709000	9000  Pet Food - Pantry	46709020	9020  Pet Treats	Purina Friskies	Purina Friskies Party Mix Favorites, Original Crunch, 20 Ounce
B01LTHNNCO	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food Variety Pack, Gravy Sensations Seafood Pouches - (12) 3 oz. Pouches
B06XHBTHL7	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina Friskies	Purina Friskies Party Mix Crunch Beachside Cat Treats 2 Pack (20 oz. each)
B0716DFHDX	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Gravy Swirlers Adult Dry Cat Food
B0718YYMQ1	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats, Party Mix Crunch Gravylicious Chicken & Gravy Flavors - (10) 2.1 oz. Pouches
B071DQ6BLZ	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Crunch Gravylicious Turkey & Gravy Flavors - 10 oz. Bag (Pack of 4)
B071DQ6BM1	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Dry Cat Food, Gravy Swirlers - 16 lb. Bag
